year,file,cluster,value
2001,01101219DN.txt,organizations,Jomo Kenyatta University of Agriculture
2001,01101219DN.txt,organizations,University
2001,01101825DN.txt,organizations,Oxford University
2001,01101829DN.txt,organizations,Oxford University
2001,01101834DN.txt,organizations,University
2001,01101834DN.txt,organizations,Music Kenyatta University
2001,01101834DN.txt,organizations,Kenyatta University
2001,01101834DN.txt,organizations,University the Board
2001,01102813LS.txt,organizations,University of Nairobi
2001,01111528DN.txt,organizations,Kenyatta University
2001,01112225DN.txt,organizations,John Hopkins University
2001,01112225DN.txt,organizations,University of Nairobi
2001,01112225DN.txt,organizations,University of Washington
2001,01112226DN.txt,organizations,University
2001,01112226DN.txt,organizations,Oxford University
2001,01112226DN.txt,organizations,University of Plymouth
2001,01112226DN.txt,organizations,University of Plymouth and Reading
2001,01112519SN.txt,organizations,The University Student Prize Giving Ceremony
2001,01112519SN.txt,organizations,University Council
2001,01112519SN.txt,organizations,Vice-ChanceRor University of located on University
2001,01112519SN.txt,organizations,University
2001,01112519SN.txt,organizations,University of Nairobi
2001,01112519SN.txt,organizations,University of Nairobi
2001,01112519SN.txt,organizations,University of Nairobi Anthem
2001,01112519SN.txt,organizations,Nairobi University
2001,01112520SN.txt,organizations,University of Nairobi Enterprises Services
2001,01112520SN.txt,organizations,University of Nairo~ International
2001,01112520SN.txt,organizations,University
2001,01112520SN.txt,organizations,University of Deliberate
2001,01112520SN.txt,organizations,University of Nairobi for People we Serve
2001,01112520SN.txt,organizations,University of Nairobi
2001,01112522SN.txt,organizations,University
2001,01112522SN.txt,organizations,University of Oxford
2001,01112522SN.txt,organizations,University of he HIV Vaccine Trials
2001,01112522SN.txt,organizations,University of Nairobi
2001,01112815DN.txt,organizations,University of Massachusetts
2001,01113026DN.txt,organizations,University
2001,01120205SN.txt,organizations,Manchester Metropolitan University & THE
2001,01120205SN.txt,organizations,Computingfrom University
2001,01120205SN.txt,organizations,TANZANIA University &
2001,01120220SN.txt,organizations,Rockefeller University
2001,01120907SN.txt,organizations,Colombia University Mailman School
2001,01121007SS.txt,organizations,Kenyatta University Vice Chancel
2001,01121007SS.txt,organizations,University of Aids education
2001,01121007SS.txt,organizations,University of Guyana
2001,01121007SS.txt,organizations,University of IUionis
2001,01121322DN.txt,organizations,University School
2001,01122719DN.txt,organizations,University of Nairobi
2001,01122917SA.txt,organizations,University degree Processing Agency: Ministry of Demonstrated
2001,01122917SA.txt,organizations,"US$92,351 University"
2002,02010316DN.txt,organizations,University
2002,02010316DN.txt,organizations,University of D
2002,02011020DN.txt,organizations,Board of University
2002,02011020DN.txt,organizations,University of Copenhagen
2002,02011124DN.txt,organizations,University
2002,02011414DN.txt,organizations,Moi University
2002,02011414DN.txt,organizations,Mol University in Banker
2002,02011509DN.txt,organizations,Texas A&M University
2002,02012906DN.txt,organizations,Oxford University
2002,02020311LS.txt,organizations,Kenyatta University Travelling Theatre
2002,02020311LS.txt,organizations,Kenyatta University Chris
2002,02020311LS.txt,organizations,Kenyatta University
2002,02020311LS.txt,organizations,Nairobi University to Bakulutu Afrika
2002,02020610DN.txt,organizations,University
2002,02020610DN.txt,organizations,University of Nairobi
2002,02021107DN.txt,organizations,University of Nairobi
2002,02021720SN.txt,organizations,University of California Los Ange
2002,02022714DN.txt,organizations,University of California
2002,02030723DN.txt,organizations,University
2002,02040831DN.txt,organizations,RUIRU TOWN Kenyatta University
2002,02041106DN.txt,organizations,Moi University
2002,02041109DN.txt,organizations,Oxford University
2002,02041109DN.txt,organizations,University of Nairobi
2002,02041111DN.txt,organizations,Oxford University
2002,02041417SN.txt,organizations,University of Nairobi
2002,02042210DN.txt,organizations,Maseno University
2002,02050809DN.txt,organizations,Nairobi University
2002,02051110SA.txt,organizations,University of Sussex
2002,02051206SN.txt,organizations,British University Whisky
2002,02051622DN.txt,organizations,University of Horizon
2002,02051721DN.txt,organizations,Prof Moi University
2002,02052518SA.txt,organizations,Kenyatta University
2002,02052518SA.txt,organizations,Leisure Students Support Services Schools Audio Studio and Braille Kenyatta University
2002,02052518SA.txt,organizations,University Council
2002,02052518SA.txt,organizations,University
2002,02053027DN.txt,organizations,University of California
2002,02053027DN.txt,organizations,Cambridge University
